time,ddrc_rd,ddrc_wr,ipc,ips,mflops,llcm_load,llcm_store,llcm,uncore_imc_0/cas_count_read/,uncore_imc_1/cas_count_read/,uncore_imc_2/cas_count_read/,uncore_imc_3/cas_count_read/,uncore_imc_4/cas_count_read/,uncore_imc_5/cas_count_read/,uncore_imc_0/cas_count_write/,uncore_imc_1/cas_count_write/,uncore_imc_2/cas_count_write/,uncore_imc_3/cas_count_write/,uncore_imc_4/cas_count_write/,uncore_imc_5/cas_count_write/,faultFlag
2022-05-06 00:12:58,1022.0,989.13,0.93,161084.41,0.0,52.96,18.0,47.07,172.11,116.17,120.03,178.58,247.08,188.03,166.34,110.17,113.78,173.54,242.23,183.07,0
2022-05-06 00:13:59,860.42,835.44,0.93,161403.26,0.0,36.98,15.35,32.43,128.35,70.95,113.15,183.14,216.85,147.97,124.17,66.5,108.48,179.33,212.97,143.98,0
2022-05-06 00:14:59,9140.17,4118.2,1.31,228013.8,110.86,47.42,59.52,49.32,1535.6,1535.58,1533.68,1511.17,1511.54,1512.59,688.56,688.54,687.39,684.67,684.1,684.95,0
2022-05-06 00:15:59,103849.81,46199.45,0.32,52613.19,11560.78,81.47,96.14,90.02,17321.0,17321.34,17320.7,17295.22,17294.43,17297.11,7704.19,7705.82,7703.74,7695.36,7694.07,7696.27,0
2022-05-06 00:16:59,105820.38,43433.78,0.36,62061.39,12032.46,89.78,101.02,96.38,17644.72,17645.61,17644.62,17628.98,17625.67,17630.78,7242.5,7243.48,7241.57,7236.33,7233.72,7236.18,0
2022-05-06 00:17:59,99430.99,40406.28,0.49,84099.88,16838.55,84.57,95.84,90.26,16604.0,16605.48,16606.13,16537.41,16536.01,16541.96,6740.43,6742.09,6741.79,6727.95,6725.59,6728.42,20
2022-05-06 00:18:59,98874.06,41470.11,0.52,89881.3,15417.07,86.36,101.5,93.97,16511.82,16511.43,16510.98,16446.14,16444.64,16449.04,6918.81,6918.88,6917.9,6904.77,6903.73,6906.02,20
2022-05-06 00:19:59,93922.17,39285.77,0.58,100380.07,15479.67,84.95,98.08,91.4,15686.04,15687.6,15688.2,15618.68,15617.45,15624.2,6554.04,6555.14,6554.99,6540.83,6538.55,6542.22,20
2022-05-06 00:20:59,95072.66,39569.84,0.54,92168.32,15472.93,82.2,94.95,88.65,15880.64,15880.51,15879.33,15809.42,15809.66,15813.1,6601.92,6602.92,6601.6,6587.88,6586.41,6589.12,20
2022-05-06 00:21:59,88730.63,37652.62,0.53,92863.81,14733.01,85.5,93.39,89.82,14822.53,14822.12,14821.69,14753.2,14752.66,14758.42,6282.57,6283.23,6282.89,6268.13,6266.43,6269.37,20
2022-05-06 00:22:59,93072.82,39012.76,0.55,95695.75,15394.59,82.85,94.9,88.63,15547.71,15547.73,15547.04,15476.11,15474.93,15479.31,6509.54,6511.0,6510.38,6494.51,6492.15,6495.19,20
2022-05-06 00:23:59,86300.95,35399.05,0.55,95161.67,14953.06,81.85,98.39,89.84,14419.9,14421.39,14420.13,14345.05,14344.55,14349.94,5908.27,5909.79,5908.55,5891.06,5889.67,5891.72,20
2022-05-06 00:24:59,82740.54,33791.23,0.56,97004.69,13959.07,83.91,91.67,88.06,13825.76,13828.03,13829.67,13751.3,13749.75,13756.02,5639.56,5641.94,5641.8,5623.75,5620.56,5623.61,20
2022-05-06 00:25:59,93291.17,30511.23,0.51,86941.48,10168.98,86.19,95.28,90.4,15561.26,15562.23,15561.11,15533.02,15535.12,15538.43,5092.04,5093.6,5092.79,5076.89,5077.08,5078.82,20
2022-05-06 00:26:59,87865.12,28205.34,0.51,86995.08,10407.39,83.93,94.34,88.74,14657.06,14657.7,14657.33,14629.95,14629.49,14633.59,4708.38,4709.41,4708.19,4693.34,4691.92,4694.1,20
2022-05-06 00:27:59,82255.78,28269.25,0.5,85303.05,9526.44,86.26,96.99,91.25,13719.5,13721.35,13720.87,13695.66,13696.76,13701.64,4717.66,4719.86,4717.71,4704.09,4703.94,4705.99,20
2022-05-06 00:28:59,81343.71,26820.08,0.49,86144.58,8874.29,90.07,93.6,91.75,13567.67,13569.38,13569.93,13545.18,13543.58,13547.97,4475.29,4477.76,4477.44,4463.67,4461.54,4464.37,20
2022-05-06 00:29:59,84190.24,27347.34,0.49,83507.12,8656.2,86.34,103.81,94.4,14043.58,14043.59,14042.34,14020.11,14018.33,14022.28,4565.03,4565.83,4563.54,4551.73,4549.57,4551.64,20
2022-05-06 00:30:59,100285.3,33364.13,0.44,75535.18,8483.54,85.59,107.2,95.09,16724.15,16723.72,16721.89,16704.15,16703.18,16708.21,5565.7,5566.17,5564.8,5556.94,5553.77,5556.75,20
2022-05-06 00:32:00,101891.01,36370.07,0.42,69788.37,9373.11,90.6,96.74,93.48,16995.87,16995.06,16993.86,16968.0,16967.47,16970.76,6067.17,6067.31,6066.29,6056.95,6055.53,6056.81,20
2022-05-06 00:33:00,101715.6,34544.07,0.45,76390.74,8907.05,96.3,90.73,93.65,16961.73,16960.32,16960.5,16943.45,16942.25,16947.35,5762.17,5762.04,5761.13,5753.49,5751.26,5753.99,20
2022-05-06 00:34:00,100180.91,35177.96,0.42,71805.72,8346.93,90.32,100.28,95.12,16708.25,16708.07,16706.2,16685.28,16685.23,16687.88,5868.78,5868.98,5866.86,5857.7,5857.13,5858.49,20
2022-05-06 00:35:00,90299.29,29186.16,0.47,79576.3,9289.21,87.04,107.13,96.3,15060.15,15062.37,15060.8,15037.72,15036.89,15041.38,4870.7,4872.2,4870.92,4857.88,4856.04,4858.41,20
2022-05-06 00:36:00,92228.27,29675.81,0.48,82343.51,9054.16,83.03,106.03,92.41,15381.8,15384.75,15383.5,15357.49,15356.91,15363.83,4952.07,4953.9,4953.01,4938.69,4937.48,4940.66,20
2022-05-06 00:37:00,93818.97,29707.52,0.44,75665.42,9857.5,90.05,92.13,91.06,15647.0,15648.46,15647.86,15624.63,15623.21,15627.82,4957.4,4958.91,4957.02,4945.5,4943.22,4945.48,20
2022-05-06 00:38:00,86029.66,28071.19,0.48,82296.28,9319.87,92.29,101.78,97.18,14349.15,14349.49,14349.5,14325.84,14326.17,14329.53,4684.94,4685.57,4684.72,4671.6,4671.59,4672.78,20
2022-05-06 00:39:00,110405.97,42653.24,0.34,57123.11,11013.88,86.26,97.56,91.87,18416.89,18417.34,18417.15,18384.83,18384.16,18385.6,7115.24,7115.86,7113.93,7103.99,7102.23,7101.99,0
2022-05-06 00:40:00,103441.81,44296.47,0.34,58950.54,11486.47,88.87,101.49,96.18,17250.94,17249.33,17249.28,17231.02,17228.47,17232.78,7387.24,7387.72,7385.64,7378.91,7377.29,7379.68,0
2022-05-06 00:41:00,103473.25,44736.16,0.42,69739.81,15029.75,93.75,99.13,96.67,17279.26,17277.55,17276.77,17213.21,17210.55,17215.91,7461.59,7462.18,7460.42,7451.04,7448.75,7452.18,0
2022-05-06 00:42:00,100150.09,38582.03,0.44,76450.74,15716.68,87.36,98.3,92.84,16728.93,16730.38,16728.76,16651.24,16652.46,16658.32,6437.87,6440.46,6439.6,6420.22,6419.94,6423.95,0
2022-05-06 00:43:00,110757.54,34472.6,0.4,69031.39,12481.93,89.74,98.21,93.66,18473.9,18474.94,18475.29,18442.86,18442.8,18447.76,5753.73,5754.48,5753.58,5737.22,5735.39,5738.2,0
2022-05-06 00:44:00,109213.54,41414.27,0.33,55385.65,10549.15,89.25,102.39,95.42,18217.87,18217.75,18216.92,18187.15,18185.65,18188.19,6908.43,6908.65,6907.86,6897.46,6895.48,6896.39,0
2022-05-06 00:45:00,100918.96,45793.45,0.31,53285.01,9816.28,87.09,104.15,97.19,16843.75,16843.0,16844.07,16825.75,16823.21,16739.17,7635.54,7636.12,7635.7,7629.31,7626.76,7630.02,0
2022-05-06 00:46:00,41.07,42.75,0.11,233.83,0.0,14.34,28.33,17.51,7.18,6.96,6.85,6.58,8.93,4.56,7.46,7.35,7.11,6.66,9.86,4.32,0
